,Id,Name,in2000,in2015,inBoth,Group
244,8229,Other specified video watching,TRUE,TRUE,TRUE,3
245,8300,Unspecified listening to radio and music,TRUE,TRUE,TRUE,3
246,8310,Unspecified radio listening,TRUE,TRUE,TRUE,3
247,8311,Listening to music on the radio,TRUE,TRUE,TRUE,3
248,8312,Listening to sport on the radio,TRUE,TRUE,TRUE,3
249,8319,Other specified radio listening,TRUE,TRUE,TRUE,3
250,8320,Listening to recordings,TRUE,TRUE,TRUE,3
251,9000,Travel related to unspecified time use,TRUE,TRUE,TRUE,10
252,9010,Travel related to personal business,TRUE,TRUE,TRUE,10
253,9100,Travel to/from work,FALSE,TRUE,FALSE,10
254,9110,Travel in the course of work,TRUE,TRUE,TRUE,10
255,9120,Travel to work from home and back only,FALSE,TRUE,FALSE,10
256,9130,Travel to work from a place other than home,TRUE,TRUE,TRUE,10
257,9140,Travel to work from a place other than home,TRUE,FALSE,FALSE,10
258,9210,Travel related to education,TRUE,TRUE,TRUE,10
259,9230,Travel escorting to/ from education,TRUE,TRUE,TRUE,10
260,9310,Travel related to household care,TRUE,TRUE,TRUE,10
261,9360,Travel related to shopping,TRUE,TRUE,TRUE,10
262,9370,Travel related to services,TRUE,TRUE,TRUE,10
263,9380,Travel escorting a child other than education,TRUE,TRUE,TRUE,10
264,9390,Travel escorting an adult other than education,TRUE,TRUE,TRUE,10
265,9400,Travel related to organisational work,FALSE,TRUE,FALSE,10
266,9410,Travel related to voluntary work and meetings,TRUE,TRUE,TRUE,10
267,9420,Travel related to informal help to other households,TRUE,TRUE,TRUE,10
268,9430,Travel related to religious activities,TRUE,TRUE,TRUE,10
269,9440,Travel related to participatory activities other than religious activities,TRUE,TRUE,TRUE,10
270,9500,Travel to visit friends/relatives in their homes not respondents household,TRUE,TRUE,TRUE,10
271,9510,Travel related to other social activities,TRUE,TRUE,TRUE,10
272,9520,Travel related to entertainment and culture,TRUE,TRUE,TRUE,10
273,9600,Travel related to other leisure,FALSE,TRUE,FALSE,10
274,9610,Travel related to physical exercise,TRUE,TRUE,TRUE,10
275,9620,Travel related to hunting & fishing,TRUE,TRUE,TRUE,10
276,9630,Travel related to productive exercise other than hunting & fishing,TRUE,TRUE,TRUE,10
277,9710,Travel related to gambling,TRUE,TRUE,TRUE,10
278,9720,Travel related to hobbies other than gambling,TRUE,TRUE,TRUE,10
279,9800,Travel related to changing locality,FALSE,TRUE,FALSE,10
280,9810,Travel to holiday base,TRUE,TRUE,TRUE,10
281,9820,Travel for day trip/just walk,TRUE,TRUE,TRUE,10
282,9890,Other specified travel,TRUE,TRUE,TRUE,10
283,9940,Punctuating activity,TRUE,TRUE,TRUE,10
284,9941,Unknown: at home,FALSE,TRUE,FALSE,2
285,9950,Filling in the time use diary,TRUE,TRUE,TRUE,2
286,9960,No main activity no idea what it might be,TRUE,TRUE,TRUE,2
287,9970,No main activity some idea what it might be,TRUE,TRUE,TRUE,2
288,9980,Illegible activity,TRUE,TRUE,TRUE,0
289,9990,Unspecified time use,TRUE,TRUE,TRUE,0
290,9999,Queryable,FALSE,TRUE,FALSE,0
